Date,Race Number,Rate
2025-02-02,1.0,20533.0
2025-02-02,2.0,20568.0
2025-02-02,3.0,20548.0
2025-02-02,4.0,20530.0
2025-02-02,5.0,20510.0
2025-02-02,6.0,20506.0
2025-02-02,7.0,20517.0
2025-02-02,8.0,20508.0
2025-02-02,9.0,20527.0
2025-02-02,10.0,20516.0
2025-02-02,11.0,20508.0
2025-02-02,12.0,20534.0
2025-02-02,13.0,20531.0
2025-02-02,14.0,20552.0
2025-02-02,15.0,20541.0
2025-02-02,16.0,20543.0
2025-02-02,17.0,20555.0
2025-02-02,18.0,20550.0
2025-02-02,19.0,20544.0
2025-02-02,20.0,20564.0
2025-02-02,21.0,20543.0
2025-02-02,22.0,20553.0
2025-02-02,23.0,20543.0
2025-02-02,24.0,20563.0
2025-02-02,25.0,20581.0
2025-02-02,26.0,20580.0
2025-02-02,27.0,20586.0
2025-02-02,28.0,20578.0
2025-02-02,29.0,20606.0
2025-02-02,30.0,20610.0
2025-02-02,31.0,20623.0
2025-02-02,32.0,20607.0
2025-02-02,33.0,20641.0
2025-02-02,34.0,20630.0
2025-02-02,35.0,20624.0
2025-02-02,36.0,20643.0
2025-02-02,37.0,20652.0
2025-02-02,38.0,20638.0
2025-02-02,39.0,20636.0
2025-02-02,40.0,20661.0
2025-02-02,41.0,20677.0
2025-02-02,42.0,20674.0
2025-02-02,43.0,20711.0
2025-02-02,44.0,20713.0
2025-02-02,45.0,20719.0
2025-02-02,46.0,20739.0
2025-02-02,47.0,20742.0
2025-02-02,48.0,20754.0
2025-02-02,49.0,20737.0
2025-02-02,50.0,20755.0
2025-02-02,51.0,20766.0
2025-02-02,52.0,20757.0
2025-02-02,53.0,20769.0
2025-02-02,54.0,20775.0
2025-02-02,55.0,20806.0
2025-02-02,56.0,20793.0
2025-02-02,57.0,20809.0
2025-02-02,58.0,20840.0
2025-02-02,59.0,20833.0
2025-02-02,60.0,20842.0
2025-02-02,61.0,20843.0
2025-02-02,62.0,20829.0
2025-02-02,63.0,20815.0
2025-02-02,64.0,20846.0
2025-02-02,65.0,20865.0
2025-02-02,66.0,20856.0
2025-02-02,67.0,20837.0
2025-02-05,68.0,20866.0
2025-02-05,69.0,20867.0
2025-02-05,70.0,20891.0
2025-02-05,71.0,20898.0
2025-02-05,72.0,20929.0
2025-02-05,73.0,20915.0
2025-02-05,74.0,20932.0
2025-02-05,75.0,20951.0
2025-02-05,76.0,20968.0
2025-02-05,77.0,20948.0
2025-02-05,78.0,20944.0
2025-02-05,79.0,21014.0
2025-02-05,80.0,20999.0
2025-02-05,81.0,21021.0
2025-02-05,82.0,21008.0
2025-02-05,83.0,21000.0
2025-02-05,84.0,21030.0
2025-02-05,85.0,21051.0
2025-02-05,86.0,21036.0
2025-02-05,87.0,21041.0
2025-02-05,88.0,21051.0
2025-02-05,89.0,21063.0
2025-02-13,90.0,21049.0
2025-02-13,91.0,21069.0
2025-02-13,92.0,21080.0
2025-02-13,93.0,21066.0
2025-02-13,94.0,21092.0
2025-02-13,95.0,21099.0
2025-02-13,96.0,21121.0
2025-02-13,97.0,21120.0
2025-02-13,98.0,21107.0
2025-02-13,99.0,21089.0
2025-02-13,100.0,21101.0
2025-02-13,101.0,21093.0
2025-02-13,102.0,21113.0
2025-02-13,103.0,21149.0
2025-02-13,104.0,21143.0
2025-02-13,105.0,21145.0
2025-02-13,106.0,21149.0
2025-02-13,107.0,21147.0
2025-02-13,108.0,21126.0
2025-02-13,109.0,21148.0
2025-02-13,110.0,21137.0
2025-02-13,111.0,21164.0
2025-02-13,112.0,21158.0
2025-02-13,113.0,21151.0
2025-02-13,114.0,21134.0
2025-02-13,115.0,21141.0
2025-02-13,116.0,21134.0
2025-02-13,117.0,21132.0
2025-02-18,118.0,21129.0
2025-02-18,119.0,21131.0
2025-02-18,120.0,21139.0
2025-02-18,121.0,21145.0
2025-02-18,122.0,21135.0
2025-02-18,123.0,21135.0
2025-02-18,124.0,21118.0
2025-02-18,125.0,21106.0
2025-02-18,126.0,21135.0
2025-02-18,127.0,21153.0
2025-02-18,128.0,21177.0
2025-02-18,129.0,21172.0
2025-02-18,130.0,21172.0
2025-03-06,131.0,21180.0
2025-03-06,132.0,21159.0
2025-03-06,133.0,21175.0
2025-03-06,134.0,21170.0
2025-03-06,135.0,21151.0
2025-03-06,136.0,21176.0
2025-03-06,137.0,21167.0
2025-03-06,138.0,21197.0
2025-03-06,139.0,21232.0
2025-03-06,140.0,21246.0
2025-03-06,141.0,21279.0
2025-03-06,142.0,21307.0
2025-03-06,143.0,21296.0
2025-03-06,144.0,21323.0
2025-03-06,145.0,21301.0
2025-03-06,146.0,21298.0
2025-03-06,147.0,21329.0
2025-03-06,148.0,21334.0
2025-03-06,149.0,21336.0
2025-03-06,150.0,21333.0
2025-03-06,151.0,21309.0
2025-03-06,152.0,21305.0
2025-03-06,153.0,21287.0
2025-03-06,154.0,21286.0
2025-03-06,155.0,21319.0
